gene,outcome,gsmr_beta,gsmr_se,gsmr_pval,gsmr_nsnp,heidi_out,Q_MR_Egger,Q_Inverse_variance_weighted,Q_df_MR_Egger,Q_df_Inverse_variance_weighted,Q_pval_MR_Egger,Q_pval_Inverse_variance_weighted,nsnp,b_MR_Egger,b_Weighted_median,b_Inverse_variance_weighted,b_Simple_mode,se_MR_Egger,se_Weighted_median,se_Inverse_variance_weighted,se_Simple_mode,pval_MR_Egger,pval_Weighted_median,pval_Inverse_variance_weighted,pval_Simple_mode,r2_exposure,r2_oucome,correct_dir,steiger_pval,H3,H4,causal_snp,pleiotropy_egger_intercept,pleiotropy_se,pleiotropy_pval,mrpresso_pval,adjp_MR_Egger,adjp_Weighted_median,adjp_Inverse_variance_weighted,adjp_Simple_mode,is_candidate
NME4,T2D_GSMR,0.0243574,0.00577284,2.45048e-5,21,3.80118817512275e-4,127.4926,137.7055,25,26,0,0,27,0.0151614,0.0202088,0.0337932,0.0276398,0.0167588,0.0071482,0.010567,0.014888,0.3742687,0.0046969,0.0013838,0.0747457,0.3396669,2.601e-4,TRUE,0,1,6.824495924048649e-22,rs6600214,0.006782,0.0047924,0.1693621,<0.001,0.6076747820568927,0.008002525373134329,0.003280446006389776,0.1984304450805009,FALSE
NNT,T2D_GSMR,-0.019662,0.00624961,0.00165453,32,0.012387394173913043,76.01197,83.96152,34,35,4.74e-5,6.6e-6,36,-0.0076812,-0.028534,-0.0272201,-0.0198079,0.01252,0.0079838,0.0072795,0.0143583,0.543621,3.516e-4,1.845e-4,0.176478,0.3089556,1.57e-4,TRUE,0,0.999998764532246,2.4941004129970804e-9,rs7710854,-0.0059852,0.003174,0.0679048,<0.001,0.7172835652173913,9.919665399239542e-4,6.56589928057554e-4,0.2877948923076923,FALSE
NOM1,T2D_GSMR,-0.0761782,0.0147723,2.51147e-7,6,6.662782176470588e-6,37.72726,38.27529,5,6,4e-7,1e-6,7,-0.0641278,-0.0745459,-0.0880754,-0.0637785,0.0951899,0.0146535,0.0313856,0.0224116,0.530394,4e-7,0.0050124,0.0293437,0.0449505,1.184e-4,TRUE,0,0.99949401293482,4.8079939531911e-4,rs6951811,-0.0047897,0.0177725,0.7983127,0.006,0.7136035321849502,3.0441025641025636e-6,0.00925174328358209,0.14495080930232557,FALSE
NOP58,T2D_GSMR,0.0604431,0.0143606,2.56569e-5,12,3.9447483750000003e-4,12.32811,20.6896,11,12,0.3394921,0.0551147,13,0.0253889,0.0530827,0.0671695,0.0564201,0.0193754,0.0143762,0.0147505,0.0246067,0.2167736,2.222e-4,5.3e-6,0.040719,0.0633644,7.97e-5,TRUE,0,0.999610852741069,2.84720277989173e-5,rs7572505,0.007905,0.0028941,0.0195284,0.13,0.45978702139800287,6.661511111111112e-4,3.607889908256881e-5,0.15943798416886543,FALSE
NOL8,T2D_GSMR,0.046346,0.0170979,0.0067157,9,0.03691491276842716,24.95155,25.42765,6,7,3.486e-4,6.371e-4,8,0.0320148,0.0469364,0.0500494,0.0700213,0.0610849,0.0178838,0.0278885,0.0338281,0.6189949,0.008677,0.0727133,0.0772267,0.0329024,5.08e-5,TRUE,0,0.687685435683023,0.00215088598616462,rs58391046,0.0030743,0.009086,0.7466211,0.017,0.7593979409240924,0.0134693179916318,0.08702140096774193,0.19879089879101897,FALSE
NOMO1,T2D_GSMR,0.0776541,0.012017,1.03328e-10,5,6.396205803921568e-9,8.487138,8.494007,3,4,0.0369471,0.0750691,5,0.0802799,0.0789412,0.0784763,0.077308,0.0399765,0.0115525,0.0139253,0.0199646,0.138227,0,0,0.0179589,0.0823333,9.96e-5,TRUE,0,0.0840853227672331,0.9159140574682,rs7405130,-6.588e-4,0.0133698,0.9637969,0.274,0.3573673658536585,0,0,0.12778563755868544,FALSE
NPEPL1,T2D_GSMR,0.0347117,0.0110642,0.00170517,14,0.012636670633802817,36.60958,43.3664,15,16,0.0014426,2.461e-4,17,0.0344835,6.875e-4,0.0014319,0.021446,0.0235648,0.0132884,0.0133594,0.0220332,0.1640116,0.9587359,0.9146456,0.3448647,0.098299,5.76e-5,TRUE,0,0.999999999979536,1.85425525096058e-12,rs2426778,-0.0074178,0.0044582,0.1168841,0.001,0.3909039415730337,0.9606779713706954,0.9164983594868332,0.4498539961335677,FALSE
NPC2,T2D_GSMR,0.0609706,0.0111085,4.05006e-8,17,1.3046979e-6,12.83677,14.19404,13,14,0.4604974,0.4353573,15,0.0797547,0.0649163,0.0600119,0.0672632,0.0198791,0.0140151,0.0104641,0.0250987,0.0014783,3.6e-6,0,0.0179475,0.0614861,6.31e-5,TRUE,0,0.18902831445762,0.790499895275986,rs12586772,-0.003508,0.0030111,0.2649448,0.515,0.060938811111111116,2.0313307984790872e-5,0,0.12778563755868544,FALSE
NPIPP1,T2D_GSMR,0.0364651,0.00550203,3.41253e-11,16,2.2922036617021274e-9,21.81873,22.62426,15,16,0.1126458,0.1241539,17,0.0358482,0.0363693,0.03117,0.0263472,0.0080693,0.0061059,0.004988,0.0114303,4.747e-4,0,0,0.0348989,0.4037557,1.063e-4,TRUE,0,0.0340436607791077,0.965956083765571,rs9927842,-0.0020511,0.0027563,0.4682722,0.133,0.03744626666666667,0,0,0.15011194582132567,TRUE
NPIP,T2D_GSMR,0.00976126,0.00346433,0.00483777,29,0.028511835513378964,70.56471,70.56685,30,31,4.08e-5,6.44e-5,32,0.0108409,0.0132799,0.0104983,0.0297533,0.0123535,0.0054493,0.0047667,0.0152543,0.3871559,0.0148095,0.0276341,0.0602105,0.8237134,1.331e-4,TRUE,0,0.999992636445253,6.25029475404655e-8,rs3198697,-1.585e-4,0.0052571,0.9761473,<0.001,0.619783555124056,0.021010801147227535,0.037657487970615244,0.17951483132530122,FALSE
NRBP1,T2D_GSMR,-0.164648,0.0159605,5.96602e-25,14,4.346475032307692e-22,99.743,99.96437,15,16,0,0,17,-0.163545,-0.1605907,-0.1531934,-0.1602636,0.063525,0.0154359,0.0276991,0.0300701,0.0211446,0,0,6.77e-5,0.0557757,3.899e-4,TRUE,0,1,8.71555814064504e-26,rs2303370,0.0017036,0.0093371,0.8576683,<0.001,0.16581044421052632,0,0,0.011162977777777779,FALSE
NSFL1C,T2D_GSMR,0.0140818,0.0048812,0.00391544,44,0.02411126933680104,68.98434,69.44067,40,41,0.0029682,0.0036256,42,0.016028,0.0214001,0.0201602,0.0224079,0.0101628,0.0070492,0.006169,0.0129186,0.1226438,0.0023989,0.0010831,0.0903356,0.3260967,1.22e-4,TRUE,0,0.0168314816272474,7.1164176561339e-4,rs6135033,0.0010318,0.0020059,0.609808,0.008,0.3377647090573013,0.0046718734908136475,0.002721671065989848,0.20784190759689922,FALSE
NRD1,T2D_GSMR,0.0205662,0.00696324,0.00314145,16,0.020420503054221002,60.5914,73.13255,17,18,8e-7,0,19,-3.68e-5,0.0309678,0.0318136,0.02735,0.020326,0.0084187,0.0119293,0.0195267,0.9985772,2.347e-4,0.0076569,0.1783229,0.209001,1.391e-4,TRUE,0,1,6.53308346794337e-18,rs2747525,0.0097638,0.0052051,0.0779621,<0.001,0.9992851727579233,6.979855711422845e-4,0.01314086289017341,0.28979704122137406,FALSE
NRBF2,T2D_GSMR,-0.052814,0.00826235,1.6359e-10,14,9.505281533742332e-9,35.09757,40.43834,10,11,1.202e-4,3.01e-5,12,-0.036709,-0.0728613,-0.0547636,-0.0926418,0.0197023,0.0143248,0.0134987,0.0262858,0.0920329,4e-7,4.97e-5,0.0047615,0.1667778,1.369e-4,TRUE,0,0.0885918229010169,0.911407786252143,rs34119992,-0.006057,0.0049102,0.2455714,<0.001,0.30312242450765864,3.0441025641025636e-6,2.2951304347826085e-4,0.07742627307692308,FALSE
NRDE2,T2D_GSMR,0.0259574,0.00869874,0.00284471,20,0.018920118265449436,17.55026,17.55066,18,19,0.4856286,0.5526143,20,0.0229683,0.0233256,0.0231912,0.0181422,0.013208,0.0098868,0.0072672,0.0167297,0.0991137,0.0183107,0.0014168,0.2917437,0.1149541,3.77e-5,TRUE,0,0.00185869396398719,0.00689934793639566,rs7145398,6.03e-5,0.0029852,0.9840996,0.631,0.304523252173913,0.025253790706319702,0.0033320621236133125,0.3990300929032258,FALSE
NSFP1,T2D_GSMR,0.0143688,0.00431288,8.63483e-4,12,0.007354359256294963,63.14382,63.22561,15,16,1e-7,1e-7,17,0.0118613,0.0069665,0.0132553,0.0194502,0.0122179,0.0048691,0.0067997,0.0105325,0.3470393,0.152503,0.0512475,0.0833735,0.5098711,1.072e-4,TRUE,0,0.988942346764028,1.2406903145197e-4,rs17698176,7.281e-4,0.0052235,0.8909978,<0.001,0.5868363587301587,0.1661633274596182,0.06343932910758965,0.20351034144736843,FALSE
NSF,T2D_GSMR,0.087263,0.0161155,6.13462e-8,6,1.9112166453947366e-6,14.67658,18.09395,4,5,0.0054212,0.0028309,6,0.0368294,0.1119254,0.0973092,0.1446606,0.0674204,0.0174632,0.0246927,0.0296678,0.6139241,0,8.12e-5,0.0045688,0.0444341,1.044e-4,TRUE,0,0.00389726363511727,0.996048449464003,rs62074125,0.0115648,0.0119832,0.3891558,0.027,0.757956209983361,0,3.4726455331412104e-4,0.07704658181818182,FALSE
NRIP3,T2D_GSMR,0.107408,0.0252958,2.17522e-5,6,3.4165022587064677e-4,5.060522,5.490074,3,4,0.1674187,0.2406034,5,0.1310719,0.0828346,0.0942745,0.0446705,0.0778456,0.0276872,0.0245816,0.0506719,0.1908205,0.0027734,1.255e-4,0.427801,0.0161935,3.37e-5,TRUE,0,0.18550952790786,0.788616279285087,rs66630602,-0.0043166,0.0085541,0.6485535,0.276,0.42776075830815713,0.00524965,4.862715404699738e-4,0.5290472366666666,FALSE
NT5C,T2D_GSMR,0.0450349,0.0111619,5.4672e-5,17,7.386569358059915e-4,31.17645,31.43241,16,17,0.0127748,0.0176841,18,0.0344165,0.0550297,0.0417066,0.0514731,0.0238875,0.0128515,0.0125524,0.0281307,0.1689314,1.85e-5,8.919e-4,0.0848754,0.0780749,7.02e-5,TRUE,0,0.100032850352744,0.337308802285295,rs3736075,0.0013776,0.0038009,0.7217664,0.032,0.39666803417721525,8.319393939393939e-5,0.0023791956912028725,0.20409612109500805,FALSE
NTAN1,T2D_GSMR,0.0545302,0.0109174,5.89045e-7,12,1.430473126923077e-5,12.21286,22.22747,12,13,0.4287399,0.051936,14,0.0174258,0.067657900000000007,0.0580729,0.0737428,0.015426,0.011944,0.0108488,0.0239168,0.2807024,0,1e-7,0.0087226,0.1006965,9.4e-5,TRUE,0,0.999042725236608,9.4999086384751e-4,rs2280017,0.0090059,0.002871,0.0085814,0.094,0.5293041443456163,0,1.1415384615384615e-6,0.09808677878787879,FALSE
NTN5,T2D_GSMR,-0.056598,0.0132377,1.90681e-5,11,3.0713261071428573e-4,13.82588,17.6614,9,10,0.1286551,0.0609511,11,-0.0894021,-0.0685858,-0.0512303,-0.0667051,0.0277762,0.0146979,0.0146985,0.0297558,0.0105119,3.1e-6,4.914e-4,0.0488587,0.0585357,5.2e-5,TRUE,0,0.0185345803626265,0.958041746979149,rs516316,0.0070398,0.0044552,0.1485396,0.105,0.1419111115044248,1.804078431372549e-5,0.0014723783132530122,0.16608326287015945,TRUE
NUCKS1,T2D_GSMR,0.0757134,0.0118848,1.8831e-10,14,1.0808993999999999e-8,33.48257,34.99883,19,20,0.0211336,0.0201105,21,0.1000894,0.0739569,0.074873,0.0840337,0.0297821,0.0135155,0.0121212,0.0214839,0.0032834,0,0,8.653e-4,0.0859208,1.443e-4,TRUE,0,0.494234903783832,0.505726327619116,rs823110,-0.0043037,0.0046397,0.3652558,0.047,0.08258585762711865,0,0,0.03891227878787879,FALSE
NUCB2,T2D_GSMR,-0.0718714,0.0085982,6.33118e-17,12,1.0902291959999999e-14,65.11076,80.76849,12,13,0,0,14,-0.0976328,-0.0704494,-0.0440018,-0.068304,0.0351474,0.0099682,0.0165298,0.0180431,0.0167183,0,0.0077686,0.0022686,0.1399026,1.651e-4,TRUE,0,1,3.23629116285653e-51,rs214081,0.0171317,0.0100849,0.115121,<0.001,0.15837210191082804,0,0.013297119261822376,0.05512581290322581,FALSE
NUDT18,T2D_GSMR,-0.0161523,0.00514238,0.00168359,32,0.012535598183962264,36.02053,36.90121,26,27,0.0912922,0.0969261,28,-0.0318622,-0.030916,-0.0246432,-0.0319532,0.0111533,0.0080016,0.0064688,0.012713,0.0083089,1.117e-4,1.392e-4,0.0182266,0.2230764,9.05e-5,TRUE,0,0.0253440398922419,0.00147551700734596,rs4872277,0.0020344,0.0025516,0.4324986,0.12,0.12927804166666668,3.8639347319347324e-4,5.310354755784061e-4,0.12778563755868544,FALSE
NUDT1,T2D_GSMR,-0.0391306,0.0145229,0.00705132,9,0.03822727631368059,23.71659,27.64861,9,10,0.0047726,0.0020544,11,0.0012096,-0.0289871,-0.0456777,-0.0295542,0.0437509,0.0163462,0.0215056,0.027599,0.978547,0.0761755,0.033671,0.3094038,0.0487593,7.7e-5,TRUE,0,1,4.51126710646197e-18,rs1108036,-0.0077871,0.0063749,0.2529169,0.021,0.9886111401767507,0.0887319010989011,0.04437634458259325,0.4159014847826087,FALSE
NUDT5,T2D_GSMR,0.0645031,0.0141171,4.89738e-6,6,9.4274565e-5,79.58222,98.05216,7,8,0,0,9,0.1825625,0.1105797,0.1239084,0.077796,0.0529909,0.0212723,0.027282,0.0239672,0.0107615,2e-7,5.6e-6,0.0117724,0.118484,4.658e-4,TRUE,0,1.50544110737385e-12,0.999999999998522,rs11257655,-0.0169003,0.0132593,0.2431283,0.001,0.1419111115044248,1.6488888888888886e-6,3.743423423423423e-5,0.11344312727272728,FALSE
NUMA1,T2D_GSMR,0.0666433,0.0188673,4.12112e-4,5,0.0040956062455403995,12.04834,12.38716,3,4,0.0072194,0.0146929,5,0.0354556,0.0525027,0.0570949,-0.0393536,0.0822372,0.0183962,0.0305789,0.050323,0.6954697,0.0043174,0.0618833,0.4779042,0.0237289,3.15e-5,TRUE,0,0.0297521191605991,0.114917496595959,rs10898822,0.0032211,0.0110898,0.790387,0.203,0.8187403349722443,0.007441372357723577,0.0750284454248366,0.5742589739271254,FALSE
NUP210,T2D_GSMR,0.0736944,0.0134981,4.7719e-8,14,1.511527254180602e-6,2.897185,4.091216,8,9,0.940643,0.9053069,10,0.1176406,0.0693323,0.0705436,0.0631174,0.0462923,0.0218682,0.0168908,0.030367,0.034643,0.001522,2.96e-5,0.0674306,0.0238491,2.87e-5,TRUE,0,0.120707977446374,0.877466315286352,rs6804464,-0.0084664,0.007748,0.3063279,0.948,0.21197199506172842,0.0032543522988505748,1.4691103678929766e-4,0.19169925363984672,TRUE
NUP133,T2D_GSMR,-0.0928506,0.014373,1.04646e-10,13,6.435729e-9,87.13571,87.91788,11,12,0,0,13,-0.1021065,-0.0948221,-0.0886482,-0.0855683,0.053024,0.0143973,0.0300634,0.0300528,0.0803763,0,0.003191,0.0146972,0.0539305,2.128e-4,TRUE,0,1,6.62868215336312e-18,rs34804247,0.0029301,0.0093245,0.7592252,<0.001,0.2916343012224939,0,0.006382,0.12253171235955057,FALSE
NUP160,T2D_GSMR,-0.180358,0.0281262,1.4321e-10,3,8.4771369375e-9,4.848812,4.901763,2,3,0.0885307,0.1791335,4,-0.1746844,-0.1600693,-0.1592603,-0.2051017,0.1092549,0.0265324,0.0265266,0.0441162,0.2509634,0,0,0.0187659,0.0155417,8.47e-5,TRUE,0,0.374160262007068,0.6258397379914,rs11039373,0.0016918,0.0114473,0.896065,0.371,0.4932843517880795,0,0,0.12806647706422017,FALSE
NUP54,T2D_GSMR,0.0442919,0.0162155,0.00630554,9,0.0349852192970123,26.07324,26.85539,8,9,0.0010204,0.0014779,10,0.0172815,0.0329443,0.0361522,0.0277293,0.0454757,0.017273,0.0231272,0.0389807,0.7138233,0.056485,0.1180072,0.4948854,0.0394404,4.55e-5,TRUE,0,0.984685185996052,2.6985641222042e-5,rs11723400,0.0028289,0.0057747,0.6373657,0.009,0.8314864813186814,0.06754531829170024,0.1345028301075269,0.5893878419871794,FALSE
NYNRIN,T2D_GSMR,-0.0357645,0.0137954,0.00952805,8,0.04789817492038217,8.707976,9.34953,5,6,0.1212944,0.1548539,7,-0.0469422,-0.0361681,-0.032594,-0.0413455,0.0291564,0.0142334,0.0161421,0.0263851,0.1683095,0.0110515,0.0434678,0.1681577,0.0459953,2.97e-5,TRUE,0,0.00392342441308965,0.0055624393903888,rs34077103,0.0030737,0.0050643,0.5703958,0.356,0.3964809866666667,0.01633508565737052,0.05494566882453152,0.28109717432432435,FALSE
OASL,T2D_GSMR,0.0612511,0.00847813,5.02581e-13,22,4.448546402803739e-11,254.0959,264.4974,27,28,0,0,29,0.061853,0.0294797,0.0231552,0.0142272,0.0421301,0.0162011,0.020533,0.0383809,0.1536201,0.0688189,0.2594442,0.7136629,0.1513067,3.689e-4,TRUE,0,1,1.59786165285754e-33,rs2259693,-0.0079501,0.0075621,0.3024365,<0.001,0.377614960661157,0.08066923191153239,0.2756014264853257,0.7787321644117646,FALSE
OCIAD1,T2D_GSMR,-0.083955,0.0155223,6.34969e-8,16,1.9717348849180325e-6,18.45075,21.12779,13,14,0.1411423,0.0984022,15,-0.0458162,-0.0944548,-0.0941732,-0.11278,0.0379878,0.0159201,0.0147033,0.0349115,0.2492796,0,0,0.0060431,0.0473971,1.13e-4,TRUE,0,0.962957430272386,0.0369960931408173,rs2572345,-0.0082953,0.0060401,0.1928559,0.183,0.49099596445623345,0,0,0.08303667037037037,FALSE
ODF2L,T2D_GSMR,0.0233783,0.00577973,5.23523e-5,42,7.134224939568345e-4,39.69523,40.39701,30,31,0.1109034,0.1203291,32,0.0131949,0.0167801,0.019532,0.0139257,0.0102988,0.0072058,0.005467,0.0133112,0.2099334,0.0198753,3.533e-4,0.3035757,0.2764187,9.42e-5,TRUE,0,0.264647771075366,0.0544624450724687,rs421105,0.0018345,0.002519,0.4720947,0.1,0.4541416408163266,0.027184281290322576,0.0011179044776119403,0.4111657598540146,FALSE
OR10AA1P,T2D_GSMR,0.0296654,0.00921772,0.0012895,3,0.010202885964912282,1.973001,3.468012,2,3,0.3728792,0.3249346,4,0.0399655,0.034913,0.0292356,0.0344142,0.0119949,0.010315,0.008792,0.0161013,0.0794869,7.126e-4,8.834e-4,0.1221583,0.1242247,2.15e-5,TRUE,0,0.00613233704564948,3.85982798924e-4,rs2820116,-0.0048388,0.0039575,0.3459697,0.396,0.2916343012224939,0.0017654397328881468,0.00236210018018018,0.23915952137203167,FALSE
OGFOD1,T2D_GSMR,-0.076239,0.0143881,1.16601e-7,14,3.3976776717791412e-6,26.60789,28.23163,11,12,0.0052646,0.0051161,13,-0.047697,-0.0649447,-0.0732507,-0.0691008,0.0354298,0.0145933,0.016576,0.0411348,0.2053122,8.6e-6,9.9e-6,0.1188091,0.0620264,1.047e-4,TRUE,0,0.51597110307056,0.260100259384842,rs72622271,-0.0045661,0.0055731,0.4300026,0.018,0.44674971378299116,4.225960264900662e-5,5.996571428571428e-5,0.2376264,FALSE
OLFM1,T2D_GSMR,0.0117349,0.00448377,0.00886561,32,0.04565861463295269,38.52814,38.62487,34,35,0.2720667,0.3091479,36,0.0131989,0.0149287,0.0149514,0.0119429,0.0076402,0.0064419,0.0046699,0.0097077,0.0931427,0.0204806,0.0013665,0.2268065,0.2900415,6.74e-5,TRUE,0,0.0051130585957984,4.4448946315983e-4,rs12377780,4.904e-4,0.0016784,0.7719302,0.365,0.30312242450765864,0.02793493602941177,0.0032498173076923077,0.3372553567134268,FALSE
OPN3,T2D_GSMR,0.022677,0.00854532,0.00796061,19,0.04221441058790594,23.76012,33.97887,15,16,0.0692806,0.0054687,17,-0.0158959,0.0207274,0.0230903,0.0020743,0.018145,0.0100956,0.0112044,0.0195109,0.3948161,0.0400628,0.0393208,0.916655,0.1038565,6.24e-5,TRUE,0,0.00767343419903075,0.00441892244302611,rs584695,0.0099426,0.0039145,0.0226458,0.01,0.6246344268656716,0.04994077413937867,0.050390386183074266,0.9349250996563573,FALSE
OPRL1,T2D_GSMR,0.0536552,0.00748057,7.35804e-13,21,6.393394205504588e-11,79.90004,90.41435,24,25,1e-7,0,26,0.0227501,0.0410911,0.0583231,0.031816,0.0227155,0.0083286,0.0111925,0.0145989,0.3265648,8e-7,2e-7,0.038937,0.1995063,2.528e-4,TRUE,0,0.953385140437889,0.0466092586023378,rs6090043,0.0078517,0.0044182,0.0882221,<0.001,0.5701437214117647,5.626540284360189e-6,2.104964539007092e-6,0.15508436568364609,FALSE
OSGIN1,T2D_GSMR,0.0535633,0.0127012,2.47379e-5,15,3.828311289215686e-4,23.79689,25.35684,13,14,0.0330505,0.0312037,15,0.0709899,0.0659944,0.0487191,0.0555079,0.0280157,0.0152375,0.0141674,0.0312277,0.0249389,1.48e-5,5.843e-4,0.0972035,0.062527,6.22e-5,TRUE,0,0.674118654052488,0.193007266983318,rs2665304,-0.0031656,0.0034291,0.3727519,0.058,0.18105947053140095,6.842118380062305e-5,0.0016869673151750973,0.21655498050974514,FALSE
OTUD6B,T2D_GSMR,0.153469,0.0358077,1.81983e-5,3,2.95130307020548e-4,8.383097,8.426924,2,3,0.0151229,0.0379653,4,0.1493556,0.1302686,0.1351207,0.069463,0.151003,0.0364347,0.0478907,0.0773023,0.4268717,3.497e-4,0.0047808,0.4350944,0.0127053,4.35e-5,TRUE,0,0.137347982336922,7.5407142082453e-4,rs13277356,-0.0023158,0.0226476,0.9278833,0.131,0.6457467918450561,9.884853333333333e-4,0.008889698623279098,0.5336199087603306,FALSE
OXER1,T2D_GSMR,0.0444841,0.0164741,0.00692893,12,0.03773733293271995,27.29805,31.73552,8,9,6.279e-4,2.212e-4,10,-0.0121397,0.0320588,0.0448469,0.0379935,0.0556295,0.0194972,0.0248475,0.0390019,0.8327186,0.1001199,0.0710921,0.3554381,0.0396934,5.73e-5,TRUE,0,0.987163694330944,6.51933766529225e-6,rs2278583,0.0084187,0.0073824,0.2871185,0.005,0.9093115543782193,0.11379711975497703,0.08528753144704933,0.45798687569444446,FALSE
OXR1,T2D_GSMR,0.0763733,0.0240614,0.00150301,7,0.011498390718901453,1.465418,1.470275,5,6,0.9170257,0.9614446,7,0.0793696,0.0796134,0.0763793,0.0902186,0.0477774,0.026494,0.0210088,0.0383045,0.1575569,0.0026562,2.774e-4,0.0566467,0.0152587,1.96e-5,TRUE,0,0.00565114120575165,0.0175881676155491,rs7834014,-3.105e-4,0.004455,0.9471447,0.935,0.3803542508914101,0.005089584536082475,9.047507692307693e-4,0.1777320600422833,FALSE
P2RX4,T2D_GSMR,0.0473088,0.00609985,8.784e-15,32,1.080432e-12,224.4281,277.4634,38,39,0,0,40,0.0123976,0.0609924,0.058822,0.075304,0.0198569,0.0090984,0.0136331,0.0172955,0.5361304,0,1.6e-5,9.37e-5,0.2831168,6.217e-4,TRUE,0,1,1.3333078674531798e-36,rs2071271,0.0120499,0.0040211,0.0047886,<0.001,0.7154713098389983,0,8.993939393939393e-5,0.012640981818181818,FALSE
PABPC4,T2D_GSMR,-0.293624,0.0228984,1.22028e-37,4,1.92621198e-34,15.26458,16.37855,2,3,4.846e-4,9.483e-4,4,-0.2978495,-0.2847992,-0.2647061,-0.2950808,0.0977758,0.0235923,0.0381435,0.041151,0.0929778,0,0,0.0055871,0.0257739,3.749e-4,TRUE,0,8.5708980351439e-4,0.99914291019651,rs3768321,0.0057689,0.0151002,0.739205,0.265,0.30312242450765864,0,0,0.07821940000000001,FALSE
PACS1,T2D_GSMR,-0.0717427,0.0163012,1.07725e-5,10,1.8824049354243544e-4,13.016,31.41674,9,10,0.1618838,5.006e-4,11,-0.0038068,-0.0805948,-0.0765571,-0.0560659,0.0250792,0.0164111,0.0215101,0.027943,0.8827002,9e-7,3.721e-4,0.0726051,0.0529313,9.57e-5,TRUE,0,0.999757904755096,2.2813564177354e-4,rs2254388,-0.0152792,0.0042835,0.0060528,0.008,0.9366380480000001,6.241121495327102e-6,0.0011674342494714586,0.19590176072727275,FALSE
PAM,T2D_GSMR,0.0187718,0.00318911,3.95142e-9,56,1.5790674607594936e-7,309.5797,311.2104,67,68,0,0,69,0.0310926,0.0355025,0.0357612,0.0037752,0.0098318,0.0056317,0.0058799,0.0162461,0.002351,0,0,0.816945,0.7191731,6.441e-4,TRUE,0,1,3.06628890171262e-34,rs2431321,0.0018815,0.0031672,0.5544684,<0.001,0.0742315744680851,0,0,0.8628799857651247,FALSE
PAFAH2,T2D_GSMR,0.0387128,0.0131846,0.00332244,12,0.021275746612576064,26.11485,28.89845,11,12,0.0062393,0.0040790999999999996,13,0.0203154,0.0431468,0.0437504,0.0541442,0.0272568,0.0129731,0.0166877,0.0301105,0.4716953,8.815e-4,0.0087489,0.097333,0.0581013,6.02e-5,TRUE,0,0.999968736238013,5.64154144242946e-7,rs298443,0.0042207,0.0038979,0.3020537,0.014,0.6826275852140078,0.0021065152979066024,0.01467047186440678,0.21655498050974514,FALSE
PAQR6,T2D_GSMR,-0.01363,0.00406021,7.88051e-4,47,0.006834826942307692,95.47151,98.5891,49,50,7.95e-5,5.03e-5,51,-0.0252113,-0.0226538,-0.0156445,-0.0191226,0.0090094,0.0052778,0.0049252,0.0123984,0.0073242,1.77e-5,0.001491,0.1292958,0.415003,1.603e-4,TRUE,0,0.0788390908348462,0.00321251977929152,rs12128955,0.0033273,0.0026304,0.2118749,<0.001,0.12442496818181818,8.008170731707317e-5,0.0034735384615384615,0.2453644081841432,FALSE
PAPSS1,T2D_GSMR,0.009038,0.00334679,0.00692361,65,0.03773733293271995,67.04508,67.99404,66,67,0.4409826,0.4431403,68,0.0061804,0.0108895,0.0104197,0.0214498,0.0057076,0.0059644,0.0036503,0.0128394,0.2828205,0.0678891,0.0043106,0.0994629,0.5633453,1.088e-4,TRUE,0,0.0225066456480634,0.00818297384889923,rs2522420,0.0012744,0.0013185,0.337311,0.452,0.5319462889733839,0.07995111784298176,0.008138588295165396,0.21765457,FALSE
PAQR8,T2D_GSMR,0.0199021,0.0049426,5.65759e-5,45,7.561972341325811e-4,110.9777,125.2091,49,50,1e-6,0,51,0.0282088,0.0167976,0.0023867,0.0111713,0.012316,0.0064037,0.0070981,0.0097897,0.0263391,0.0087129,0.736684,0.2592513,0.3280031,1.674e-4,TRUE,0,0.9978031594422,2.04109179446297e-6,rs560243,-0.0062438,0.0024908,0.0155533,<0.001,0.18216065488372093,0.013510912852664578,0.7431944636301836,0.36780968374761,FALSE
PARD3B,T2D_GSMR,0.0472749,0.015405,0.00214925,6,0.0151567734549516,0.5813461,0.5817567,2,3,0.7477601,0.9005958,4,0.0461939,0.0429718,0.0464728,0.0439593,0.0197448,0.0168825,0.0141577,0.0202877,0.1442032,0.010917,0.0010288,0.1188132,0.0462596,3.55e-5,TRUE,0,0.959146611329845,2.0092996238072e-4,rs35435713,8.56e-5,0.0042236,0.9856734,0.895,0.3658077757264957,0.016184643356643356,0.0026323089655172415,0.2376264,FALSE
PARL,T2D_GSMR,-0.0898789,0.0181535,7.38084e-7,6,1.756380292462311e-5,8.945051,9.740542,4,5,0.0624877,0.0829297,6,-0.0659468,-0.0898624,-0.0924825,-0.0725649,0.0500675,0.0194039,0.0214321,0.0325246,0.2581715,3.6e-6,1.59e-5,0.0760621,0.034341000000000003,6.13e-5,TRUE,0,0.999821472454254,1.762143211016e-4,rs7644746,-0.0046003,0.0077132,0.5830051,0.196,0.5041138236842105,2.0313307984790872e-5,8.97171102661597e-5,0.19879089879101897,FALSE
